query_name,query_id,query_uri,severity,platform,cloud_provider,category,description_id,description,cis_description_id,cis_description_title,cis_description_text,file_name,similarity_id,line,issue_type,search_key,search_line,search_value,expected_value,actual_value
ALB Listening on HTTP,f81d63d2-c5d7-43a4-a5b5-66717a41c895,https://docs.ansible.com/ansible/latest/collections/community/aws/elb_application_lb_module.html,HIGH,Ansible,AWS,Networking and Firewall,3a7576e5,AWS Application Load Balancer (alb) should not listen on HTTP,,,,query/alb_listening_on_http/test/positive.yaml,ad70b3786c9bc9cc17d9b413772c0930c22f7b7cc749bc9a7c27533a29de5287,11,IncorrectValue,name={{my_elb_application}}.{{community.aws.elb_application_lb}}.listeners.Protocol=HTTP,0,,'aws_elb_application_lb' Protocol should be 'HTTP','aws_elb_application_lb' Protocol it's not 'HTTP'
ALB Listening on HTTP,f81d63d2-c5d7-43a4-a5b5-66717a41c895,https://docs.ansible.com/ansible/latest/collections/community/aws/elb_application_lb_module.html,HIGH,Ansible,AWS,Networking and Firewall,3a7576e5,AWS Application Load Balancer (alb) should not listen on HTTP,,,,query/alb_listening_on_http/test/positive.yaml,2669fd966f36e8bac8901297b895cc894791f2ef9a036e3beab357fb20e95cff,29,MissingAttribute,name={{my_elb_application2}}.{{community.aws.elb_application_lb}}.listeners,0,,'aws_elb_application_lb' Protocol should be 'HTTP','aws_elb_application_lb' Protocol is missing
